"list_topic_question_creators","list_topics","list_topic_question_titles","list_topic_questions","list_topic_question_timestamps"
"Muhammad nur qolbi","tdopjfb64efblewy","Penyakit Types","Penyakit Typhus atau Demam Tifoid (bahasa Inggris: Typhoid fever) yang biasa juga disebut typhus atau types dalam bahasa Indonesianya, merupakan penyakit yang disebabkan oleh bakteri Salmonella enterica, khususnya turunannya yaitu Salmonella Typhi terutama menyerang bagian saluran pencernaan. Demam tifoid adalah penyakit infeksi akut yang selalu ada di masyarakat (endemik) di Indonesia, mulai dari usia balita, anak-anak dan dewasa. Menurut keterangan dr. Arlin Algerina, SpA, dari RS Internasional Bintaro, Di Indonesia, diperkirakan antara 800 – 100.000 orang terkena penyakit tifus atau demam tifoid sepanjang tahun. Demam ini terutama muncul di musim kemarau dan konon anak perempuan lebih sering terserang, peningkatan kasus saat ini terjadi pada usia dibawah 5 tahun.","2016-10-19T00:03:47Z"
"Ruslan saiful","tdnz3o57jshhx46p","mencari perusahaan rokok","assalamu alaikum wr wb..  saya di sini hadir untuk mencari sebuah perusahaan yang bisa membantu saya, barang kali di sini ada yang cari cengke, karena kendala saya tidak tau di mana saya harus menjual hasil panen saya,,..","2016-10-18T16:09:03Z"
"AkhmadRifai","tdnspjlyrkdakojg","Bagaimana menambahkan Foto lencana","Bagaimana menambahkan Foto lencana di sebelah kanan deksripsi ?","2016-10-18T14:14:16Z"
"Hendrasianturi","tdmzpz0u2vxog6fz","cara membuat biografi","cara membuat biografi","2016-10-18T05:33:45Z"
"Armando Uno","tdmnhiyx18ws366t","artikel khatolik","bagaimana cara saya dapat membaca puji syukur agama khatolik.....??? bisa di jelaskan","2016-10-18T01:54:04Z"
"Evan Tanurahardja","tdlf0o6i8u604jwk","Modernisasi dan Dependensi","arti dari kedua kata ini","2016-10-17T12:35:34Z"
"Richo etho","tdidxq2t6rfk70bq","Tolong data penduduk distrik abepura","Data","2016-10-16T03:56:51Z"
"A.Gigatera Halil M","tdhxg4egn97wayf4","Halo...","bagaimana kalau saya edit/tambahkan suatu artikel... dan terjadi kesalahn di dalamnya... tanpa sepengetahuan saya... apa yang akan saaya lakukan atau orang lain lakukn terhadap artikel yang salah itu?","2016-10-15T23:00:46Z"
"TEGOWATI SUMARNO.P","tddprymqifs4ii51","selamat pagi","halo wikipedia, senang bergabung disini. berawal iseng liat2 wikipedia dan aku melihat tentang desaku yang tidak sesuai. untuk itu aku bergabung dan berharap bisa menjadi editor untuk desaku tercinta.","2016-10-14T01:37:19Z"
"Khalilgibranhsb","tdb79psi4glt9769","Verifikasi","gimana cara verivikasi halaman baru saya   terimakasih","2016-10-12T22:32:08Z"
"Kamocy","td97l9nukvh31ty6","kamocy","menurut saya kamocy adalah sebuah klub motor yang berharga dan dibentuk oleh kakak saya kenapa harus dihapus {{FlowMention|Bonaditya}} ?","2016-10-12T01:05:02Z"
"Moh. Dafikul Mufid","td8rnn9p2g0zf0gl","Selamat malam","Bagaimana cara mengubah foto profil","2016-10-11T20:18:55Z"
"Yoga Putra Prathama","td5yqv20qi9bihh5","verifikasi","Selamat malam,   tolong verifikasi halaman baru yang saya buat.   Terimakasih","2016-10-10T14:06:56Z"
"Danu wihara purba","td5k14kacdcs5s99","Sejarah desa hariang","Saya mau di papatkan tentang desa hatiang","2016-10-10T09:42:42Z"
"Rizaldi Mu'min","td4b1f093zwfewrl","Apakah riset kami bisa di muat, jika itu kita dapat dari pengalaman pribadi di tambah teori-teori dari sumber terpercaya?","Wikipedia:warung kopi","2016-10-09T20:14:49Z"
"Yoga Putra Prathama","td3tvif9n9htldgx","Tidak bisa merubah Templat","Selamat malam, saya ingin memperbarui informasi mengenai halaman wikipedia Kecamatan Purbolinggo untuk menambahkan beberapa kolom seperti peta derah dan lain sebagainya. Saya sudah mengeditnya untuk menambahkan kode pos, kode telepon, ibu kota tetapi masih belum berubah dan bagaimana untuk merubahnya? terimakasih. mohon infomrasinya","2016-10-09T15:06:36Z"
"Mahakam Bahari","td0z5p5cai1ho48y","Unggah Gambar","Saya mau menambahkan gambar, bagaimana caranya?","2016-10-08T08:22:11Z"
"Asad09unhas","td0z5gludij5tkok","Membuat artikel Dimas Kanjeng?","bisa tidak seperti sosok dimas kanjeng dibuatkan artikel?","2016-10-08T08:22:04Z"
"Mutia Arsita","td0z57h69tauxc0c","unggah gambar","Saya ingin menambahkan gambar bagaimana ya caranya","2016-10-08T08:21:56Z"
"Mohamad Ardi","td0z522ofqrgr57w","Tambah Video","Saya ingin menambahkan video, gimana caranya?","2016-10-08T08:21:52Z"
"Rider.chat","td0z4o6m4u5wk28x","Unggah Gambar","Saya ingin menambahkan gambar, bagaimana ya caranya?","2016-10-08T08:21:40Z"
"Yenni ambarwati","td0fwcreqs19vm7g","Bolehkah dan Bagaimana Cara Menghapus Link Mati di Referensi ?","Salam,  Saya penyunting baru di Wikipedia ,  Saya mau tanya, boleh gak link mati yang saya temukan dihapus ?   dan bagaimana cara menghapus link mati yang ada di bagian referensi yang dilindungi  Terimakasih","2016-10-08T02:36:21Z"
"Ilstream","tcyf7udydlv1tps3","Peredam Panas & Suara","Halo, saya mewakili graciamakmursejahtera.com (member hilonisulation.com). Beberapa waktu yang lalu saya menyunting 2 tautan karena kurang relevan dan semata hanya bertujuan pada penjualan atau sign up untuk kebutuhan marketing.  Web GMS sendiri lebih kepada pembelajaran. Mohon dicek jika ada yg kurang berkenan.  Terimakasih.","2016-10-07T04:51:16Z"
"Deweezz","tcy0oqov5rl128m4","Suntingan artikel tanah liat","Permisi saudara admin {{FlowMention|Hidayatsrf}}, kenapa ya suntingan tambahan dari saya dibalikkan? ada yang salah atau bagaimana? Terima kasih.","2016-10-07T00:33:03Z"
"Mollysyoso","tcwf5fjf0rk2mwbw","Hi..","Hi Wiki , Hi Julian , Saya adalah pengguna barumu. Saya ingin bertanya , apakah yg membedakan google dan wiki ? Apa wikipedia(versi indonesia) merupakan bagian dari wikileaks ? atau ? . Terima Kasih.","2016-10-06T07:17:12Z"
"Keb011","tcw1q6apfmhq639a","saya ingin belajar mengetahui tentang computer","saya ingin mengetahui cara hacker dia dunia membuat perangkat lunak sendiri?","2016-10-06T03:16:09Z"
"Sopar ependi","tcvzr61i6df9ag2m","universitas galuh","info jurusan?","2016-10-06T02:40:44Z"
"Riansyah adiepoetra","tcv7qi6t0vnoeifu","google","Gimana cara buka google tetapi pengen tetep di halaman ini?","2016-10-05T18:17:38Z"
"Ryushaa","tcsaemyrvvfn4dtn","Ruang nama","Halo semua, pada pengajuan menjadi seorang editor, saya dihadapkan dengan kalimat '''ruang nama''' dan Minimal memiliki 5 ruang nama. Apa yang dimaksud dengan ruang nama itu? Terima Kasih","2016-10-04T10:46:17Z"
"AgustarmaQ","tcs3hll95lx24r30","Wikimania","''Hallo,Wikipedia saya sangat puas apa yang menjadi identitas untuk umum namun saya sarankan jangan terisolir dengan keadaan jaman. saya cuma sedikit periklanan sekarang sangat maju pesat dengan kemajuan sebuah jaman saya sangat mensyukuri terima kasih.''","2016-10-04T11:37:27Z"
"Ryushaa","tcrhu41dr0nnq9j6","Membuat Halaman Pengguna","Halo Wikipediawan! saya baru di Wikipedia. Saya mau bertanya, bagaimana cara membuat halaman pengguna yang seperti pada umumnya. Apakah ada template khusus atau bagaimana. Trima Kasih ^_^","2016-10-04T02:13:16Z"
"36.80.247.214","tcpjxmdgc3x7p9m0","kuningan","bagaimana proses pembuatan kuningan (logam)?","2016-10-03T05:18:05Z"
"Siarlingkungan","tcntucrxvn5xzaqg","Cara menghapus kata pengguna","Saya mau bertanya, bagaimana cara menghapus kata '''pengguna''' di   '''Pengguna:siarlingkungan''' menjadi '''Siarlingkungan.'''  Terimakasih.","2016-10-02T10:43:09Z"
"Ganiwijaya","tcnhpmhe95pef2dv","Merubah judul agar bisa diganti huruf kapital","Halo, saya baru saja membuat halaman berjudul Eny sagita. Lalu, ketika saya mencari ""Eny Sagita"" (huruf S nya kapital) ternyata ada halaman kosong. Jadi beda huruf kapital, beda halaman. Lalu halaman Eny Sagita saya alihkan ke Eny sagita agar tidak terjadi kesamaan halaman yang ada di Wikipedia.  Pertanyaannya, apakah halaman ""Eny sagita"" yang saya sunting bisa diganti judul jadi ""Eny Sagita"" (dengan S kapital)? karena menurut saya tidak ada menu untuk merubah pengaturan tersebut. Terimakasih.","2016-10-02T07:05:19Z"
"Wahab Netizen","tcn2g9k4b60fywui","Join together","Mari semua ayo gabung kita saling bertukar pikiran bersama disini","2016-10-02T02:31:18Z"
"Hbib Maryam","tclqly116s1oplfn","0643833779","Salam labs 3liik adiiin mook wa dir liya jaime","2016-10-01T12:12:14Z"
"Viki Ramadhan","tcl6kqea6heaa905","Kenapa tokoh medis militer terbaik dihapus","Halo wiki dan pengurus, saya ingin menanyakan kenapa halaman wiki atas Mayjen TNI Terawan Agus Putranto dihapus? Beliau tokoh berjasa di negeri ini dalam bidang penemuan brain wash dan beliau juga tokoh militer serta ahli radiologi, halaman wiki beliau di hapus oleh pengurus erik fastman, terima kasih.","2016-10-01T06:12:30Z"
"Sri Rahayu","tcj5t1bzaheda0kl","tolong wiki bagaimana caranya untuk melihat penyuntingan hasil saya","Halo wiki,, saya ingin bertanya, bagaiman sih cara untuk melihat penyuntingan hasil saya??{{FlowMention|Sri Rahayu}}","2016-09-30T08:25:49Z"
"Metropolitan city3","tciwd8eera431tza","Tolong dong kasih tau cara mengganti password wiki","Halo wiki . Saya ingin bertanya . Apa bisa user wiki diganti password . Soalnya saya punya masalah dengan gmail saya (gmail saya udah di hack orang) . Terus takutnya user wiki saya juga di hack . Makanya saya ingin merubah password user wiki ini . Bisa tidak membantu saya ?","2016-09-30T05:36:20Z"
"Ilham Ramadhan","tcgz1jtnv9ehf0c1","menerjemahkan artikel yang sedang di terjemahkan user lain","Hallo. saya ingin bertanya. saya ini ingin menerjemahkan artikel dari en.wikipedia.org . tetapi artikel itu sedang dalam proses terjemahan oleh orang lain. bagaimana cara menerjemahkannya ya. maaf, saya user baru.","2016-09-29T08:51:31Z"
"Sangidu","tcct6x5nvq58nafz","saya ingin mengunggah gambar gambar,hak cipta saya tapi saya tidak tau caranya ..mohon bantuannya","Mohon di bantu","2016-09-27T12:00:44Z"
"36.74.225.117","tcc8ccekhd7opddq","Data link layer","data link layer berfungsi untuk","2016-09-27T05:46:21Z"
"36.74.225.117","tcc85b4gfxtw8ovy","Routing","apa yang di maksud dengan routing","2016-09-27T05:42:51Z"
"202.67.46.21","tcc6lolb3nv8nrdw","adakah yang tau defini cabang cabang ai dan contohnya ?","adakah yang tau defini cabang cabang ai dan contohnya ?","2016-09-27T05:15:06Z"
"Umsida1912","tcb44qz4i8de1vas","penempatan logo institusi","dimana kami bisa menempatkan logo institusi","2016-09-26T17:44:19Z"
"Sujiun Liu Refrand","tcaskkm0voyx4snp","halo, sya ingin bertanya panduan untuk menulis artikel figur yang belum ada di wikipedia","hallo, sya Frans Liu untuk redaksional menulis, saya mau tanya cara menulis artikel baru yang belum ada di wikipedia. saya biasa menulis se sosok figure dan figur yang mau saya tulis sudah tampil di kanca internasional dan nasional untuk kemanusiaan. tolong panduannya untuk memulai itu. saya ingin menyunting tentang Capt. Budi Soehardi. tolong tata caranya dikiri ke email atau tempat yg bisa terkonek langsung untuk saya menulis tentang beliau. thanks","2016-09-26T14:16:44Z"
"Muhammad candra anotz","tcaqv9y3pf6vu0zm","Membuat Proposal","Caranya","2016-09-26T13:46:09Z"
"Andigidaw","tc9v7znmpeg0uj0z","suntingan wikipedia","<nowiki>saya pemula. saya ingin bertanya. bolehkah saya menyunting puisi karya saya disini? ~~~~</nowiki>","2016-09-26T04:17:53Z"
"97Putra","tc7k4hp02y79tbr6","Terjemahan","bolehkah mengunggah artikel terjemahan dari wikipedia bahasa inggris ke wikipedia bahasa indonesia?","2016-09-25T03:25:46Z"
"Khairah umma yunus","tc77f6codjvi01j6","perlu penjelasan","saya ingin bertanya bagaimana cara melihat daftar pustaka perparagraf ?","2016-09-24T23:37:40Z"
"Muhammad Taufik Mirzan","tc6wqnmkhnqm491f","Memperbarui Artikel Wikipedia untuk Pemula","Saya adalah pemula. Saya ingin bertanya. Bagaimana cara agar suntingan baru artikel wikipedia yang telah saya lakukan dapat langsung ditampilkan ke pembaca/pengguna lainnya dan tidak lagi berstatus revisi tertunda? Mohon bantuannya dan terima kasih","2016-09-24T20:25:52Z"
"Moh Agus Solihin jh","tc6u3kiafwa8oypw","Perlu penjelasa dan tata cara penyuntingan","Mohon bantuan, saya pemula, jika saya berkontribusi dalam penyuntingan artikel, dan ada kesalahan apakah bisa diubah atau dihapus kembali bagian yang salah tersebut ? Juga apa saya melanggar jika ada kesalahan dalam penyuntingan ?","2016-09-24T19:38:26Z"
"Maulanalucifer","tc5j4rqrary0bl0f","Saya minta bantuannya saya baru pemula.","Mohon bantuannya.!?","2016-09-24T05:35:05Z"
"Romi ali","tc5gqw74erl5sxds","apa wikipedia bisa mencari saluran tv?","apa wikipedia bisa mencari saluran tv?","2016-09-24T04:52:44Z"
"36.81.173.175","tc479i67rb56f4wv","Pulau Bunaken","apa saja keindahan pulau Bunaken ?","2016-09-23T15:15:33Z"
"Link musik indonesia","tc3bgx3c0azzlbnl","foto","bagamana uploud foto","2016-09-23T05:44:38Z"
"JooHeon943","tc32a236l4teiij9","bagaimana cara membuat artikel"," bagaimana caranya membuat artikel pertama","2016-09-23T02:59:36Z"
"Suindra wardana","tc1puwjh37d1fwmx","bagaimana cara memasukkan gammiliterbar di artikel dan di sunting ke wekipedia","Bagaimana cara memasukkan gambar di artikel  dan di upload ke wikipedia","2016-09-22T12:30:08Z"
"Widyanindita","tbz9hm4wboczrm8y","tugas kuliah","Halo, saya baru membuat akun wikipedia. Tujuan saya membuat akun ini adalah sebagai pemenuhan tugas kuliah, dimana kami diharuskan untuk membuat artikel wikipedia yang nantinya digunakan sebagai nilai UTS kami yang berbobot 30%.  Saya ingin menanyakan apakah bisa artikel yang kami buat tidak dihapus sampai tanggal tertentu? Karena apabila artikel kami dihapus sebelum tanggal penilaian maka kami otomatis dianggap mendapat nilai 0.   Mohon bantuannya dari para penjaga wikipedia.","2016-09-21T10:03:21Z"
"Puchicatos","tbyi4iula4pcs4tt","Gambar Banner di Website Lisensi-nya Masuk Poster-kah?","Halo semua, baru-baru ini saya meng-upload gambar banner dari sebuah [[Lonceng Cinta|sinetron]]  Namun, saya mengalami kesulitan menentukan lisensi-nya untuk sementara saya meng-uploadnya dengan lisensi poster. Mohon petunjuk, karena di petunjuk lisensi tidak ada untuk banner.","2016-09-21T01:53:09Z"
"Swadi harianja 92","tbxw1fymtopvvrwb","pohon gaharu","saya ingin tahu kegunaan pohon gaharu?","2016-09-20T19:15:25Z"
"Rahmadi si mawar hitam","tbxhmmy80htbmabc","ingin mengatahui sejarah putaran dunia..","saya pendatang baru,saya ingin mengatahui segala perputaran sejarah-sejarah yang ada dimuka bumi ini.apa kah bisa membantu saya.karna saya ingin menambah wawasan lebih jauh lagi.","2016-09-20T14:56:39Z"
"Ramdhan zulfikri","tbxbe05gdz87agu5","Buat halaman","Maaf saya orang baru jadi banyak tanya bagaimana cara buat halaman  [[Pengguna:Ramdhan zulfikri|Ramdhan zulfikri]] ([[Pembicaraan Pengguna:Ramdhan zulfikri|bicara]]) 20 September 2016 13.04 (UTC)","2016-09-20T13:04:36Z"
"Ramdhan zulfikri","tbxaq9ii9q0gpyuw","Unsur unsur surat perjanjian","Tolong buatkan artikel tentang di atas saya ingin mengetahuinya terima kasih [[Pengguna:Ramdhan zulfikri|Ramdhan zulfikri]] ([[Pembicaraan Pengguna:Ramdhan zulfikri|bicara]]) 20 September 2016 12.52 (UTC)","2016-09-20T12:52:46Z"
"Eko suharsono","tbwvv7xagw6cuj5u","saya ingin tahu","saya ingin tahu bahan bakar mobil dari potongan kayu","2016-09-20T08:25:53Z"
"Ebyn1707","tbvro3pin4cohjq0","Periksa Halaman","= Baru Sungai Tutung, Air Hangat Timur, Kerinci = Tolong di periksa halaman tersebut, agar mempermudah pemirsa.","2016-09-19T20:24:05Z"
"Kamus simeulue","tbvbghi2oqla839e","usulan pranala luar kamus bahasa simeulue Devayan","Saya pendatang baru di wikipedia ingin sekali meletakkan kamus bahasa simeulue devayan di wikipedia untuk membantu khalayak ramai memahami dan belajar bahasa simeulue devayan dan yang terpenting menjaga Bahasa simeulue Devayan itu sendiri agar tetap utuh ke anak cucu mohon bimbingannya cara agar kamus bahasa simeulue dengan alamat Bahasasimeulue,blogspot,co,id dapat tampil di wikipedia karena saya lihat masih sangat di bawah minimal kata kamus bahasa simeulue di wikipedia,  Salam hormat saya Penulis Kamus bahasa simeulue","2016-09-19T15:32:59Z"
"Alfan 321","tbu589q2eeh8almc","Kata bijak","Saya mau tanya apakah tidak ingin membuat kata kata bijak atau semacam nya untuk membuat pembaca menjadi semangat atau semacam nya terima kasih","2016-09-19T02:54:43Z"
"Samsul ma'ruf","tbnxoap6ds2mgtsq","Cara memperbarui profil","Assalamuallaikum sahabat wiki .. Saya orang baru disini. Saya mau tanya bagaimana cara memperbarui informasi profil sendiri ??","2016-09-17T15:45:25Z"
"Danuabdullah0704","tbne622ww608mrks","IZIN KOPI PASTE","Mas, maaf sebelumnya saya sudah njiplak / ngcopy sedikit artike tntg pendidikan dan jiwa, dan skrg bru izin mnta.. terima kasih...","2016-09-16T02:10:13Z"
"Mochamad Faliq","tbn4cu83bc6y4v4v","akun baru","setiap membuat akun wiki apa langsung ter-index di google search ?","2016-09-15T23:14:02Z"
"Yusra Hendra","tblrxjl3x42t0vr6","bagaimana cara memasukkan foto?","bagaimana cara memasukkan foto?","2016-09-15T08:44:30Z"
"Azka kiti","tbjxnutcb97b0qkx","Sungtin profil","Bagaimana cara menambakan foto profil","2016-09-14T12:54:32Z"
"Leonardo Sirait","tbjqz5ajyo3nn3vp","Leo nardo Sirait","bagaimana bikin foto di wikipedia","2016-09-14T10:54:29Z"
"Keviiintan","tbh1n02neugifwuw","Bagaimana cara menaruh foto di profil seseorang di Wikipedia?","Bagaimana cara menaruh foto di profil seseorang di Wikipedia?","2016-09-13T05:46:39Z"
"Jebe nawawi","tbf2v0lqeo1509sv","Mohon bantu edit","Saya membuat fieldhockeybox, tapi karena keterbatasan kemampuan saya dalam coding, selalu muncul },{ di templat tersebut. apakah ada yang bisa membantu saya memberikan solusi","2016-09-12T08:35:45Z"
"Adriana reyes","tb7zx64sjj1dfkcw","Versi Stabil","Saya baru menyunting profil idola saya Nabila Syakieb. Tapi lama sekali ditinjau untuk jadi versi stabil. Kira2 berapa lama bisa menjadi jadi versi stabil, agar info2 tentang dia bisaus  terterupdate di wikipedia.  terima kasih.","2016-09-09T04:17:56Z"
